date,object_name,plan,fact,unit,cloudiness,temperature,wind_speed
2023-01-01 01:00:00,Zadarya,0,0,MWh,4.0,-4.0,2.0
2023-01-01 02:00:00,Zadarya,0,0,MWh,4.0,-4.0,2.0
2023-01-01 03:00:00,Zadarya,0,0,MWh,4.0,-3.0,2.0
2023-01-01 04:00:00,Zadarya,"0,039","0,002",MWh,4.0,-2.0,2.0
2023-01-01 05:00:00,Zadarya,"0,219","0,487",MWh,4.0,0.0,2.0
2023-01-01 06:00:00,Zadarya,"0,388","1,973",MWh,3.0,1.0,2.0
2023-01-01 07:00:00,Zadarya,"0,504","3,115",MWh,3.0,2.0,2.0
2023-01-01 08:00:00,Zadarya,"0,559","6,799",MWh,3.0,2.0,3.0
2023-01-01 09:00:00,Zadarya,"0,56","7,44",MWh,3.0,3.0,3.0
2023-01-01 10:00:00,Zadarya,"0,508","8,72",MWh,3.0,4.0,3.0
2023-01-01 11:00:00,Zadarya,"0,426","6,863",MWh,2.0,4.0,3.0
2023-01-01 12:00:00,Zadarya,"0,239","2,249",MWh,2.0,3.0,3.0
2023-01-01 13:00:00,Zadarya,"0,057","0,433",MWh,3.0,2.0,3.0
2023-01-01 14:00:00,Zadarya,0,"0,001",MWh,4.0,2.0,2.0
2023-01-01 15:00:00,Zadarya,0,0,MWh,4.0,2.0,2.0
2023-01-01 16:00:00,Zadarya,0,0,MWh,4.0,1.0,2.0
2023-01-01 17:00:00,Zadarya,0,0,MWh,3.0,0.0,2.0
2023-01-01 18:00:00,Zadarya,0,0,MWh,3.0,-1.0,2.0
2023-01-01 19:00:00,Zadarya,0,0,MWh,3.0,-2.0,2.0
2023-01-01 20:00:00,Zadarya,0,0,MWh,3.0,-3.0,2.0
2023-01-01 21:00:00,Zadarya,0,0,MWh,3.0,-3.0,2.0
2023-01-01 22:00:00,Zadarya,0,0,MWh,2.0,-4.0,2.0
2023-01-01 23:00:00,Zadarya,0,0,MWh,2.0,-4.0,2.0
2023-01-02 00:00:00,Zadarya,0,0,MWh,2.0,-4.0,2.0
2023-01-02 01:00:00,Zadarya,0,0,MWh,2.0,-3.0,2.0
2023-01-02 02:00:00,Zadarya,0,0,MWh,2.0,-3.0,2.0
2023-01-02 03:00:00,Zadarya,0,0,MWh,2.0,-2.0,2.0
2023-01-02 04:00:00,Zadarya,"0,039",0,MWh,2.0,-2.0,3.0
2023-01-02 05:00:00,Zadarya,"0,219","0,282",MWh,2.0,-1.0,3.0
2023-01-02 06:00:00,Zadarya,"0,388","2,265",MWh,4.0,-1.0,3.0
2023-01-02 07:00:00,Zadarya,"0,504","4,401",MWh,4.0,1.0,5.0
2023-01-02 08:00:00,Zadarya,"0,559","3,72",MWh,4.0,2.0,5.0
2023-01-02 09:00:00,Zadarya,"0,56","3,041",MWh,4.0,4.0,5.0
2023-01-02 10:00:00,Zadarya,"0,508","2,894",MWh,4.0,5.0,6.0
2023-01-02 11:00:00,Zadarya,"0,426","1,773",MWh,4.0,5.0,6.0
2023-01-02 12:00:00,Zadarya,"0,239","1,109",MWh,3.0,5.0,6.0
2023-01-02 13:00:00,Zadarya,"0,057","0,593",MWh,3.0,5.0,5.0
2023-01-02 14:00:00,Zadarya,0,0,MWh,3.0,3.0,5.0
2023-01-02 15:00:00,Zadarya,0,0,MWh,3.0,3.0,5.0
2023-01-02 16:00:00,Zadarya,0,0,MWh,3.0,3.0,5.0
2023-01-02 17:00:00,Zadarya,0,0,MWh,3.0,4.0,5.0
2023-01-02 18:00:00,Zadarya,0,0,MWh,3.0,4.0,5.0
2023-01-02 19:00:00,Zadarya,0,0,MWh,3.0,4.0,6.0
2023-01-02 20:00:00,Zadarya,0,0,MWh,3.0,3.0,6.0
2023-01-02 21:00:00,Zadarya,0,0,MWh,3.0,3.0,6.0
2023-01-02 22:00:00,Zadarya,0,0,MWh,3.0,3.0,8.0
2023-01-02 23:00:00,Zadarya,0,0,MWh,3.0,3.0,8.0
2023-01-03 00:00:00,Zadarya,0,0,MWh,3.0,3.0,8.0
2023-01-03 01:00:00,Zadarya,0,0,MWh,5.0,4.0,9.0
2023-01-03 02:00:00,Zadarya,0,0,MWh,6.0,4.0,9.0
2023-01-03 03:00:00,Zadarya,0,0,MWh,8.0,5.0,9.0
2023-01-03 04:00:00,Zadarya,0,0,MWh,8.0,4.0,10.0
2023-01-03 05:00:00,Zadarya,0,0,MWh,8.0,3.0,10.0
2023-01-03 06:00:00,Zadarya,0,0,MWh,8.0,3.0,10.0
2023-01-03 07:00:00,Zadarya,0,0,MWh,8.0,4.0,11.0
2023-01-03 08:00:00,Zadarya,0,0,MWh,8.0,4.0,11.0
2023-01-03 09:00:00,Zadarya,0,0,MWh,8.0,4.0,11.0
2023-01-03 10:00:00,Zadarya,0,0,MWh,8.0,4.0,10.0
2023-01-03 11:00:00,Zadarya,0,0,MWh,8.0,3.0,10.0
2023-01-03 12:00:00,Zadarya,0,0,MWh,8.0,3.0,10.0
2023-01-03 13:00:00,Zadarya,0,0,MWh,8.0,3.0,12.0
2023-01-03 14:00:00,Zadarya,0,0,MWh,8.0,3.0,12.0
2023-01-03 15:00:00,Zadarya,0,0,MWh,8.0,3.0,12.0
2023-01-03 16:00:00,Zadarya,0,0,MWh,8.0,3.0,11.0
2023-01-03 17:00:00,Zadarya,0,0,MWh,8.0,3.0,11.0
2023-01-03 18:00:00,Zadarya,0,0,MWh,8.0,3.0,11.0
2023-01-03 19:00:00,Zadarya,0,0,MWh,8.0,4.0,10.0
2023-01-03 20:00:00,Zadarya,0,0,MWh,8.0,4.0,10.0
2023-01-03 21:00:00,Zadarya,0,0,MWh,8.0,4.0,10.0
2023-01-03 22:00:00,Zadarya,0,0,MWh,8.0,4.0,6.0
2023-01-03 23:00:00,Zadarya,0,0,MWh,8.0,4.0,6.0
2023-01-04 00:00:00,Zadarya,0,0,MWh,8.0,4.0,6.0
2023-01-04 01:00:00,Zadarya,0,0,MWh,7.0,3.0,2.0
2023-01-04 02:00:00,Zadarya,0,0,MWh,7.0,2.0,2.0
2023-01-04 03:00:00,Zadarya,0,0,MWh,7.0,2.0,2.0
2023-01-04 04:00:00,Zadarya,"0,039",0,MWh,7.0,3.0,2.0
2023-01-04 05:00:00,Zadarya,"0,219","0,249",MWh,6.0,3.0,2.0
2023-01-04 06:00:00,Zadarya,"0,388","0,666",MWh,6.0,4.0,2.0
2023-01-04 07:00:00,Zadarya,"0,504","2,075",MWh,5.0,4.0,2.0
